2020-04-23	'Kidney impairment is associated with in-hospital death of COVID-19 patients'	'Background: Information on kidney impairment in patients with coronavirus disease 2019 (COVID-19) is limited. This study aims to assess the prevalence and impact of abnormal urine analysis and kidney dysfunction in hospitalized COVID-19 patients in Wuhan. Method: We conducted a consecutive cohort study of COVID-19 patients admitted in a tertiary teaching hospital with 3 branches following a major outbreak in Wuhan in 2020. Hematuria, proteinuria, serum creatinine concentration and other clinical parameters were extracted from the electronic hospitalization databases and laboratory databases. Incidence rate for acute kidney injury (AKI) was examined during the study period. Association between kidney impairment and in-hospital death was analyzed. Results: We included 710 consecutive COVID19 patients, 89 (12.3%) of whom died in hospital. The median age of the patients was 63 years (inter quartile range, 51-71), including 374 men and 336 women. On admission, 44% of patients have proteinuria hematuria and 26.9% have hematuria, and the prevalence of elevated serum creatinine and blood urea nitrogen were 15.5% and 14.1% respectively. During the study period, AKI occurred in 3.2% patients. Kaplan-Meier analysis demonstrated that patients with kidney impairment have higher risk for in-hospital death. Cox proportional hazard regression confirmed that elevated serum creatinine, elevated urea nitrogen, AKI, proteinuria and hematuria was an independent risk factor for in-hospital death after adjusting for age, sex, disease severity, leukocyte count and lymphocyte count. Conclusion: The prevalence of kidney impairment (hematuria, proteinuria and kidney dysfunction) in hospitalized COVID-19 patients was high. After adjustment for confounders, kidney impairment indicators were associated with higher risk of in-hospital death. Clinicians should increase their awareness of kidney impairment in hospitalized COVID-19 patients.'	2020-02-20	10.1101/2020.02.18.20023242	https://www.meta.org/papers/article/1010023242
2020-04-23	'Deep learning-based model for detecting 2019 novel coronavirus pneumonia on high-resolution computed tomography: a prospective study'	'Background: Computed tomography (CT) is the preferred imaging method for diagnosing 2019 novel coronavirus (COVID19) pneumonia. Our research aimed to construct a system based on deep learning for detecting COVID-19 pneumonia on high resolution CT, relieve working pressure of radiologists and contribute to the control of the epidemic. Methods: For model development and validation, 46,096 anonymous images from 106 admitted patients, including 51 patients of laboratory confirmed COVID-19 pneumonia and 55 control patients of other diseases in Renmin Hospital of Wuhan University (Wuhan, Hubei province, China) were retrospectively collected and processed. Twenty-seven consecutive patients undergoing CT scans in Feb, 5, 2020 in Renmin Hospital of Wuhan University were prospectively collected to evaluate and compare the efficiency of radiologists against 2019-CoV pneumonia with that of the model. Findings: The model achieved a per-patient sensitivity of 100%, specificity of 93.55%, accuracy of 95.24%, PPV of 84.62%, and NPV of 100%; a per-image sensitivity of 94.34%, specificity of 99.16%, accuracy of 98.85%, PPV of 88.37%, and NPV of 99.61% in retrospective dataset. For 27 prospective patients, the model achieved a comparable performance to that of expert radiologist. With the assistance of the model, the reading time of radiologists was greatly decreased by 65%. Conclusion: The deep learning model showed a comparable performance with expert radiologist, and greatly improve the efficiency of radiologists in clinical practice. It holds great potential to relieve the pressure of frontline radiologists, improve early diagnosis, isolation and treatment, and thus contribute to the control of the epidemic.'	2020-03-01	10.1101/2020.02.25.20021568	https://www.meta.org/papers/article/1010021568
2020-04-23	'CT Imaging and Differential Diagnosis of COVID-19'	'Since the beginning of 2020, coronavirus disease 2019 (COVID-19) has spread throughout China. This study explains the findings from lung computed tomography images of some patients with COVID-19 treated in this medical institution and discusses the difference between COVID-19 and other lung diseases.'	2020-03-05	10.1177/0846537120913033	https://www.meta.org/papers/article/32129670
2020-04-23	'COVID19 -Nuclear Medicine Departments, be prepared!'	'None'	2020-03-14	10.1097/mnm.0000000000001183	https://www.meta.org/papers/article/32168202
2020-04-23	'Excess cases of Influenza like illnesses in France synchronous with COVID19 invasion.'	'Several French regions where COVID19 has been reported currently show a renewed increase in ILI cases in the general practice based Sentinelles network. Here we computed the number of excess cases by region and found correlation with the number of reported COVID19 cases so far. These data suggest larger circulation of SARS-CoV-2 in the French population than apparent from confirmed cases.'	2020-03-17	10.1101/2020.03.14.20035741	https://www.meta.org/papers/article/1010035741
2020-04-23	'Management strategies for patients with gynecological malignancies during the outbreak of COVID19'	'Objective: To explore the management strategies for patients with gynecological malignant tumors during the outbreak and transmission of COVID19. Methods: We retrospectively analyzed the clinical characteristics, treatment, and disease outcomes of three patients with gynecological malignancies associated with COVID19 in Renmin Hospital of Wuhan University in January 2020, and proposed management strategies for patients with gynecological tumors under risk of COVID19. Results: Three patients were treated COVID19 based on the national diagnosis and treatment protocol as well as research progress. Meanwhile, these patients were appropriately adjusted the treatment plan in accordance with the clinical guidelines for gynecological tumors. Pneumonia was cured in 2 patients, and one patient died of COVID-19. Conclusions: Patients with gynecological malignant tumors are high-risk groups prone to COVID-19 infection, and gynecological oncologists need to carry out education, prevention, control and treatment according to specific conditions. While actively preventing and controlling COVID-19, the diagnosis and treatment of gynecological malignant tumors should be carried out in an orderly and safe manner.'	2020-03-17	10.3760/cma.j.cn112141-20200302-00168	https://www.meta.org/papers/article/32174096
2020-04-23	'A serological assay to detect SARS-CoV-2 seroconversion in humans'	'Introduction: SARS-Cov-2 (severe acute respiratory disease coronavirus 2), which causes Coronavirus Disease 2019 (COVID19) was first detected in China in late 2019 and has since then caused a global pandemic. While molecular assays to directly detect the viral genetic material are available for the diagnosis of acute infection, we currently lack serological assays suitable to specifically detect SARS-CoV-2 antibodies. Methods: Here we describe serological enzyme-linked immunosorbent assays (ELISA) that we developed using recombinant antigens derived from the spike protein of SARS-CoV-2. These assays were developed with negative control samples representing pre-COVID 19 background immunity in the general population and samples from COVID19 patients. Results: The assays are sensitive and specific, allowing for screening and identification of COVID19 seroconverters using human plasma/serum as early as 3 days post symptom onset. Importantly, these assays do not require handling of infectious virus, can be adjusted to detect different antibody types and are amendable to scaling. Conclusion: Serological assays are of critical importance to determine seroprevalence in a given population, define previous exposure and identify highly reactive human donors for the generation of convalescent serum as therapeutic. Sensitive and specific identification of coronavirus SARS-Cov-2 antibody titers will also support screening of health care workers to identify those who are already immune and can be deployed to care for infected patients minimizing the risk of viral spread to colleagues and other patients.'	2020-04-16	10.1101/2020.03.17.20037713	https://www.meta.org/papers/article/1010037713
2020-04-23	'Coronavirus disease-19: The First 7,755 Cases in the Republic of Korea'	'We report the first 7,755 patients with confirmed COVID19 in Korea as of March 13, 2020. A total of 66 deaths were identified, resulting case fatality proportion of 0.9%. Older people, and those with coexisting medical conditions were at risk for fatal outcomes. The highest number of cases were from Daegu, followed by Gyeongbuk, with elevated age-stratified case fatality. This summary may help to understand the disease dynamics in the early phase of COVID19 outbreak, therefore, to guide future public health measures.'	2020-03-18	10.1101/2020.03.15.20036368	https://www.meta.org/papers/article/1010036368
2020-04-23	'Coronavirus disease-19: Summary of 2,370 Contact Investigations of the First 30 Cases in the Republic of Korea'	'Between January 24 and March 10, of a total of 2,370 individuals who had contacted the first 30 cases of COVID19, 13 were found to have COVID19, resulting secondary attack rate of 0.55% (95% CI 0.31 to 0.96). Of 119 household contacts, 9 had infections resulting secondary attack rate of 7.56 (95% CI 3.73 to 14.26).'	2020-03-18	10.1101/2020.03.15.20036350	https://www.meta.org/papers/article/1010036350
2020-04-23	'CoViD--19: An Automatic, Semiparametric Estimation Method for the Population Infected in Italy'	'To date, official data on the number of people infected with the SARS-CoV-2 , responsible for the CoViD19 , have been released by the Italian Government just on the basis of a non representative sample of population which tested positive for the swab. However a reliable estimation of the number of infected, including asymptomatic people, turns out to be crucial in the preparation of operational schemes and to estimate the future number of people, who will require, to different extents, medical attentions. In order to overcome the current data shortcoming, this paper proposes a bootstrap driven, estimation procedure for the number of people infected with the SARSCoV2. This method is designed to be robust, automatic and suitable to generate estimations at regional level. Obtained results show that, while official data at March the 12th report 12.839 cases in Italy, people infected wiyh the SARSCoV2 could be as high as 105.789.'	2020-03-18	10.1101/2020.03.14.20036103	https://www.meta.org/papers/article/1010036103
